Name,ComponentName,Action,IsCustomization,ActionClassName,IsActive,IsAdvancedButton,SeqNo,IsAddSeparator,AD_Tab_ID[Name],AD_Process_ID[Value]
Period Create,Period Create,W,N,,Y,N,10,N,Personnel and Payroll Contract,AmperProcPeriodCreate
Amper Payroll Create,Amper Payroll Create,W,N,,Y,N,10,N,Personnel and Payroll Periods,AmperProcPayrollCreate
AMNPayroll Refresh,AMNPayroll Refresh,W,N,,Y,N,10,N,Personnel and Payroll Invoice,AmperProcPayrollRefresh
Payroll Create One Document for this Employee,Payroll Create One Document for this Employee,W,N,,Y,N,10,N,Personnel and Payroll Invoice,AmperProcPayrollCreateOneDoc
Payroll Process and Accounting One Document,Payroll Process and Accounting One Document,W,N,,Y,N,50,N,Personnel and Payroll Invoice,AmperProcPayrollProcessCompleteOneDoc
AMNPayroll Refresh,AMNPayroll Refresh,W,N,,Y,N,10,N,Personnel and Payroll Invoice Detail,AmperProcPayrollRefresh
Amper Payroll Create Docs,Amper Payroll Create Docs,W,N,,Y,N,10,N,Personnel and Payroll Periods,AmperProcPayrollCreate
Amper Payroll Process and Accounting Docs,Amper Payroll Process  and Accounting Docs,W,N,,Y,N,40,N,Personnel and Payroll Periods,AmperProcPayrollProcessCompleteOnePer
Payroll Refresh Recalculate,Payroll Refresh Recalculate,W,N,,Y,N,20,N,Personnel and Payroll Invoice,AmperProcPayrollRefresh
Employee File,Employee File,W,N,,Y,N,10,N,Personnel and Payroll Employee,AmperRepEmployeeFile
Antiquity File,Antiquity File,W,N,,Y,N,10,N,Personnel and Payroll Employee,AmperRepAntiquityFileToolbar
Process Payroll Attendance One Period,Process Payroll Attendance One Period,W,N,,Y,N,20,N,Personnel and Payroll Periods,AmperProcPayrollProcessPayrollAssistOneP
Attendance Period Create,Attendance Period Create,W,N,,Y,N,10,N,Calendar Periods,AmperProcPeriodCreateAssistPeriod
Process Payroll Attendance One Employee,Process Payroll Attendance One Employee,W,N,,Y,N,30,N,Personnel and Payroll Invoice,AmperProcPayrollProcessPayrollAssistOneE
Transfer Payroll Attendance One Period,Transfer Payroll Attendance One Period,W,N,,Y,N,30,N,Personnel and Payroll Periods,AmperProcPayrollTransferPayrollAssistOnP
Transfer Payroll Attendance One Employee,Transfer Payroll Attendance One Employee,W,N,,Y,N,40,N,Personnel and Payroll Invoice,AmperProcPayrollTransferPayrollAssistOnE
Amper Payroll Process Payroll Attendance One Day,Amper Payroll Process Payroll Attendance One Day,W,N,,Y,N,10,N,Attendance Days,AmperProcPayrollProcessPayrollAssistOneD
Payroll Receipt NN,Payroll Receipt NN,W,N,,Y,N,43,N,Personnel and Payroll Invoice,AmperRepPayrollNNReceiptToolbar
Payroll Receipt NV,Payroll Receipt NV,W,N,,Y,N,45,N,Personnel and Payroll Invoice,AmperRepPayrollNVReceiptsToolbar
Payroll Receipt NU,Payroll Receipt NU,W,N,,Y,N,47,N,Personnel and Payroll Invoice,AmperRepPayrollNUReceiptsToolbar
AmFormPaymentReceiptFormat,AmFormPaymentReceiptFormat,W,N,,Y,N,10,N,Payment,AmFormPaymentReceiptFormat
AmForm Payment Receip tFormat Accounting,AmForm Payment Receipt Format Accounting,W,N,,Y,N,10,N,Payment,AmFormPaymentReceiptFormatAccounting
AmForm Payment Receipt Format Check Blank Guide,AmForm Payment Receipt Format Check Blank Guide,W,N,,Y,N,10,N,Payment,AmFormPaymentReceiptFormatCheckBlankGuid
AmForm PaymentReceipt Format Check Model,AmForm PaymentReceipt Format Check Model,W,N,,Y,N,10,N,Payment,AmFormPaymentReceiptFormatCheckModel
Period Create for Social Benefits,Period Create for Social Benefits,W,N,,Y,N,10,N,Personnel and Payroll Contract or Social Benefits,AmperProcPeriodCreate
Amper Payroll Create Social Benefit Docs,Amper Payroll Create Social Benefit Docs,W,N,,Y,N,10,N,Personnel and Payroll Periods,AmperProcPayrollCreate
Amper Payroll Process  and Accounting Social Benefit Docs,Amper Payroll Process  and Accounting Social Benefit Docs,W,N,,Y,N,20,N,Personnel and Payroll Periods,AmperProcPayrollProcessCompleteOnePer
